suite,run_name,model_id,model,source_kind,total_questions,evaluated_questions,missing_questions,correct,overall_accuracy,evaluated_accuracy,Motion_Perception,Spatial_Relations,Outcome_Prediction,Physical_Dynamics,Vehicle_Movement,Relative_Velocity,Rotation_Direction,Ego_Motion,Passage_Feasibility,Interaction_Direction,Basketball_Shot,Soccer_Shot,Golf_Shot,Billiards_Shot,Swimming_Race,Fall_Direction,Jenga_Stability,Mikado_Dependency,Knot_Type,result_dir,warnings
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite-thinking,api_success_error_unparsed,670,670,0,395,59.0,59.0,57.6,66.1,56.1,60.0,67.9,59.5,48.6,61.5,64.3,78.6,53.2,59.5,55.6,54.1,58.3,52.2,64.4,53.7,60.0,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite,api_success_error_unparsed,670,670,0,355,53.0,53.0,50.0,58.7,50.8,56.5,64.3,52.4,37.5,47.7,60.7,82.1,50.0,55.7,44.4,56.8,47.2,39.1,64.4,48.8,46.7,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro-thinking,api_success_error_unparsed,670,670,0,389,58.1,58.1,62.4,69.4,53.0,51.3,66.1,76.2,51.4,67.7,64.3,78.6,54.8,53.2,37.0,59.5,55.6,52.2,55.9,46.3,46.7,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro,api_success_error_unparsed,670,670,0,380,56.7,56.7,60.6,66.9,51.1,53.0,62.5,71.4,52.8,56.9,67.9,89.3,53.2,48.1,44.4,67.6,50.0,39.1,57.6,46.3,53.3,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,gemini-3-flash-preview,Gemini-3-Flash-Preview-thinking,api_success_error_unparsed,670,670,0,339,50.6,50.6,45.3,58.7,50.0,51.3,35.7,47.6,51.4,52.3,64.3,67.9,43.5,51.9,51.9,59.5,52.8,39.1,50.8,51.2,53.3,results/results_api_0608/main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,{}
main,main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview-thinking,api_success_error_unparsed,670,670,0,354,52.8,52.8,48.8,62.8,48.5,58.3,46.4,52.4,48.6,61.5,64.3,64.3,51.6,44.3,40.7,40.5,58.3,60.9,57.6,51.2,80.0,results/results_api_0608/main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview-thinking,api_success_error_unparsed,670,670,0,356,53.1,53.1,50.0,70.2,50.0,47.0,44.6,54.8,51.4,67.7,67.9,78.6,58.1,48.1,40.7,59.5,47.2,34.8,40.7,43.9,80.0,results/results_api_0608/main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,glm-4.6v,GLM-4.6V-thinking,api_success_error_unparsed,670,670,0,329,49.1,49.1,50.0,62.0,44.7,44.3,60.7,40.5,47.2,53.8,60.7,82.1,43.5,48.1,25.9,48.6,47.2,47.8,35.6,51.2,60.0,results/results_api_0608/main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,gpt-5.4,GPT-5.4-thinking,api_success_error_unparsed,670,670,0,416,62.1,62.1,68.8,75.2,50.8,64.3,55.4,78.6,73.6,76.9,57.1,89.3,43.5,54.4,51.9,56.8,50.0,47.8,67.8,53.7,80.0,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,gpt-5.4,GPT-5.4,api_success_error_unparsed,670,670,0,378,56.4,56.4,60.6,71.9,50.8,47.0,60.7,69.0,55.6,67.7,64.3,89.3,43.5,58.2,40.7,54.1,50.0,52.2,45.8,43.9,60.0,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,{}
main,main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1,Intern-S1,api_success_error_unparsed,670,670,0,353,52.7,52.7,55.3,60.3,47.7,52.2,46.4,69.0,54.2,56.9,50.0,78.6,48.4,46.8,40.7,59.5,38.9,52.2,49.2,46.3,80.0,results/results_api_0608/main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1-pro,Intern-S1-Pro,api_success_error_unparsed,670,670,0,333,49.7,49.7,45.3,63.6,45.1,52.2,51.8,31.0,48.6,60.0,60.7,75.0,43.5,48.1,66.7,43.2,38.9,26.1,57.6,43.9,53.3,results/results_api_0608/main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,internvl3.5-241b-a28b,InternVL3.5-241B-A28B,api_success_error_unparsed,670,670,0,354,52.8,52.8,50.0,66.1,49.2,51.3,66.1,40.5,43.1,64.6,57.1,78.6,45.2,49.4,51.9,64.9,38.9,47.8,45.8,53.7,66.7,results/results_api_0608/main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,mimo-v2.5,MiMo-V2.5-thinking,api_success_error_unparsed,670,670,0,358,53.4,53.4,48.2,67.8,49.6,54.8,57.1,35.7,48.6,63.1,67.9,78.6,54.8,50.6,33.3,45.9,47.2,60.9,61.0,46.3,53.3,results/results_api_0608/main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,{}
