suite,run_name,model_id,model,source_kind,total_questions,evaluated_questions,missing_questions,correct,overall_accuracy,evaluated_accuracy,Motion_Perception,Spatial_Relations,Outcome_Prediction,Physical_Dynamics,Vehicle_Movement,Relative_Velocity,Rotation_Direction,Ego_Motion,Passage_Feasibility,Interaction_Direction,Basketball_Shot,Soccer_Shot,Golf_Shot,Billiards_Shot,Swimming_Race,Fall_Direction,Jenga_Stability,Mikado_Dependency,Knot_Type,result_dir,warnings
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite-thinking,api_success_error_unparsed,670,670,0,393,58.7,58.7,65.5,67.8,50.8,57.0,69.6,76.2,56.2,71.2,66.7,60.7,45.2,63.3,61.5,42.1,44.4,34.8,65.5,50.0,42.9,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite,api_success_error_unparsed,670,670,0,374,55.8,55.8,57.3,56.2,51.9,62.3,64.3,69.0,45.2,54.5,66.7,50.0,54.8,55.7,53.8,42.1,50.0,47.8,65.5,61.9,50.0,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro-thinking,api_success_error_unparsed,670,670,0,417,62.2,62.2,67.8,73.6,57.2,53.5,60.7,85.7,63.0,68.2,74.1,85.7,56.5,53.2,61.5,50.0,77.8,47.8,58.6,45.2,57.1,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro,api_success_error_unparsed,670,670,0,381,56.9,56.9,55.0,66.1,53.0,58.8,51.8,64.3,52.1,59.1,74.1,75.0,51.6,54.4,50.0,50.0,61.1,47.8,69.0,50.0,42.9,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,gemini-3-flash-preview,Gemini-3-Flash-Preview-thinking,api_success_error_unparsed,670,670,0,340,50.7,50.7,42.7,63.6,51.9,46.5,35.7,40.5,49.3,59.1,63.0,75.0,45.2,57.0,46.2,47.4,66.7,43.5,37.9,50.0,71.4,results/results_api_0608/main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,{}
main,main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview-thinking,api_success_error_unparsed,670,670,0,351,52.4,52.4,49.7,64.5,48.5,52.6,44.6,47.6,54.8,63.6,63.0,67.9,54.8,49.4,57.7,31.6,61.1,26.1,63.8,38.1,50.0,results/results_api_0608/main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview-thinking,api_success_error_unparsed,670,670,0,362,54.0,54.0,48.5,71.9,51.1,50.0,46.4,50.0,49.3,77.3,63.0,67.9,54.8,51.9,46.2,50.0,52.8,43.5,44.8,50.0,71.4,results/results_api_0608/main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,glm-4.6v,GLM-4.6V-thinking,api_success_error_unparsed,670,670,0,339,50.6,50.6,48.5,65.3,47.7,44.7,55.4,42.9,46.6,69.7,44.4,75.0,41.9,46.8,53.8,44.7,58.3,47.8,36.2,47.6,71.4,results/results_api_0608/main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,gpt-5.4,GPT-5.4-thinking,api_success_error_unparsed,670,670,0,415,61.9,61.9,70.8,73.6,53.0,57.0,58.9,71.4,79.5,74.2,59.3,85.7,50.0,48.1,57.7,60.5,50.0,65.2,67.2,40.5,64.3,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,gpt-5.4,GPT-5.4,api_success_error_unparsed,670,670,0,374,55.8,55.8,65.5,63.6,48.1,50.9,71.4,66.7,60.3,59.1,70.4,67.9,41.9,48.1,50.0,50.0,52.8,52.2,46.6,47.6,78.6,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,{}
main,main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1,Intern-S1,api_success_error_unparsed,670,670,0,340,50.7,50.7,49.7,64.5,47.7,44.7,50.0,45.2,52.1,63.6,66.7,64.3,48.4,48.1,30.8,52.6,58.3,39.1,46.6,45.2,35.7,results/results_api_0608/main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1-pro,Intern-S1-Pro,api_success_error_unparsed,670,670,0,333,49.7,49.7,50.9,64.5,45.5,42.1,55.4,50.0,47.9,66.7,51.9,71.4,40.3,46.8,50.0,47.4,44.4,47.8,39.7,40.5,57.1,results/results_api_0608/main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,internvl3.5-241b-a28b,InternVL3.5-241B-A28B,api_success_error_unparsed,670,670,0,361,53.9,53.9,52.0,72.7,45.1,57.0,64.3,52.4,42.5,68.2,81.5,75.0,45.2,44.3,46.2,42.1,55.6,34.8,65.5,45.2,57.1,results/results_api_0608/main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,mimo-v2.5,MiMo-V2.5-thinking,api_success_error_unparsed,670,670,0,360,53.7,53.7,48.5,61.2,51.1,59.6,46.4,40.5,54.8,53.0,59.3,82.1,46.8,57.0,38.5,55.3,55.6,43.5,60.3,59.5,57.1,results/results_api_0608/main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,{}
