suite,run_name,model_id,model,source_kind,total_questions,evaluated_questions,missing_questions,correct,overall_accuracy,evaluated_accuracy,Motion_Perception,Spatial_Relations,Outcome_Prediction,Physical_Dynamics,Vehicle_Movement,Relative_Velocity,Rotation_Direction,Ego_Motion,Passage_Feasibility,Interaction_Direction,Basketball_Shot,Soccer_Shot,Golf_Shot,Billiards_Shot,Swimming_Race,Fall_Direction,Jenga_Stability,Mikado_Dependency,Knot_Type,result_dir,warnings
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite-thinking,api_success_error_unparsed,1340,1340,0,788,58.8,58.8,61.6,66.9,53.4,58.5,68.8,67.9,52.4,66.4,65.5,69.6,49.2,61.4,58.5,48.0,51.4,43.5,65.0,51.8,51.7,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-lite-260215,Seed-2.0-Lite,api_success_error_unparsed,1340,1340,0,729,54.4,54.4,53.7,57.4,51.3,59.4,64.3,60.7,41.4,51.1,63.6,66.1,52.4,55.7,49.1,49.3,48.6,43.5,65.0,55.4,48.3,results/results_api_0608/main_doubao-seed-2-0-lite-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro-thinking,api_success_error_unparsed,1340,1340,0,806,60.1,60.1,65.1,71.5,55.1,52.4,63.4,81.0,57.2,67.9,69.1,82.1,55.6,53.2,49.1,54.7,66.7,50.0,57.3,45.8,51.7,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-high_prompt-direct_run1,{}
main,main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,doubao-seed-2-0-pro-260215,Seed-2.0-Pro,api_success_error_unparsed,1340,1340,0,761,56.8,56.8,57.8,66.5,52.1,55.9,57.1,67.9,52.4,58.0,70.9,82.1,52.4,51.3,47.2,58.7,55.6,43.5,63.2,48.2,48.3,results/results_api_0608/main_doubao-seed-2-0-pro-260215_api-mify_seed_provider-volcengine_maas_media-video_frames-per_video-16_thinking-none_prompt-direct_run1,{}
main,main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,gemini-3-flash-preview,Gemini-3-Flash-Preview-thinking,api_success_error_unparsed,1340,1340,0,679,50.7,50.7,44.0,61.2,50.9,48.9,35.7,44.0,50.3,55.7,63.6,71.4,44.4,54.4,49.1,53.3,59.7,41.3,44.4,50.6,62.1,results/results_api_0608/main_gemini-3-flash-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-High_prompt-direct_run1,{}
main,main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview-thinking,api_success_error_unparsed,1340,1340,0,705,52.6,52.6,49.3,63.6,48.5,55.5,45.5,50.0,51.7,62.6,63.6,66.1,53.2,46.8,49.1,36.0,59.7,43.5,60.7,44.6,65.5,results/results_api_0608/main_gemini-3.1-flash-lite-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview-thinking,api_success_error_unparsed,1340,1340,0,718,53.6,53.6,49.3,71.1,50.6,48.5,45.5,52.4,50.3,72.5,65.5,73.2,56.5,50.0,43.4,54.7,50.0,39.1,42.7,47.0,75.9,results/results_api_0608/main_gemini-3.1-pro-preview_api-mify_gemini_provider-vertex_ai_media-video_frames-per_video-16_thinking-HIGH_prompt-direct_run2,{}
main,main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,glm-4.6v,GLM-4.6V-thinking,api_success_error_unparsed,1340,1340,0,668,49.9,49.9,49.3,63.6,46.2,44.5,58.0,41.7,46.9,61.8,52.7,78.6,42.7,47.5,39.6,46.7,52.8,47.8,35.9,49.4,65.5,results/results_api_0608/main_glm-4.6v_api-mify_qwen_provider-zhipuai_media-video_thinking-on_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,gpt-5.4,GPT-5.4-thinking,api_success_error_unparsed,1340,1340,0,831,62.0,62.0,69.8,74.4,51.9,60.7,57.1,75.0,76.6,75.6,58.2,87.5,46.8,51.3,54.7,58.7,50.0,56.5,67.5,47.0,72.4,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-xhigh_prompt-direct_run1,{}
main,main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,gpt-5.4,GPT-5.4,api_success_error_unparsed,1340,1340,0,752,56.1,56.1,63.0,67.8,49.4,48.9,66.1,67.9,57.9,63.4,67.3,78.6,42.7,53.2,45.3,52.0,51.4,52.2,46.2,45.8,69.0,results/results_api_0608/main_gpt-5.4_api-mify_gpt_provider-azure_openai_media-image_frames-per_video-16_order-chronological_thinking-none_prompt-direct_run1,{}
